2 3 11 14 19 39 42 55 64 67 73 75 76 80 83
2 5 7 14 19 39 40 51 63 67 73 74 76 78 83
2 3 6 17 22 36 41 53 64 67 73 74 76 80 83
2 5 6 17 21 35 40 53 63 71 73 74 76 80 83
2 2 6 18 19 39 40 52 61 71 72 74 76 80 95
2 3 6 18 29 39 40 51 61 67 72 74 76 80 83
2 4 6 16 26 35 45 49 64 71 72 74 76 78 101
1 5 7 17 22 36 40 51 63 67 73 74 76 81 83
1 2 6 14 29 39 42 52 64 67 72 75 76 82 83
1 4 6 16 19 39 40 51 63 67 73 75 76 80 83
1 3 6 18 20 37 40 51 63 71 73 74 76 82 83
1 2 11 15 19 39 40 52 63 68 73 74 76 80 90
2 1 6 15 19 39 42 55 62 67 72 74 76 78 83
2 2 6 17 24 38 42 50 64 71 73 74 76 82 83
1 3 6 15 25 38 40 48 63 68 73 74 76 80
2 3 6 17 27 35 40 57 63 69 73 74 76 81 103
2 1 7 16 22 36 42 56 62 67 73 74 76 79 83
2 2 6 16 22 36 42 54 66 67 73 74 76 80 83
2 3 6 14 21 35 40 50 63 67 73 74 76 82 83
1 4 7 18 29 39 41 51 66 67 72 74 76 81 83
1 3 6 16 32 39 40 52 63 67 73 74 76 82 83
2 5 6 18 22 36 43 49 66 71 72 74 76 78 83
2 3 9 14 26 35 40 56 63 71 73 74 76 80 83
2 4 6 15 21 35 40 57 63 67 73 74 77 80 83
2 5 6 15 22 36 41 47 66 67 72 74 76 80 83
1 5 10 17 19 39 40 47 63 67 73 74 76 80 83
2 1 6 16 22 36 42 48 62 67 73 74 76 80 83
1 5 16 20 37 40 63 68 73 74 76 82 93
2 3 6 18 22 36 41 51 64 67 73 74 76 82 83
2 4 6 16 22 36 40 48 63 67 73 74 76 80 83
2 1 10 16 24 38 42 59 64 67 73 74 76 82 83
2 1 6 18 20 37 42 50 62 71 73 74 76 81 83
2 4 6 18 19 39 41 51 62 67 73 74 77 80 83
2 2 9 14 20 37 40 55 62 67 73 74 76 80 83
2 1 11 18 20 37 40 49 63 71 73 74 76 78 83
2 4 6 17 21 35 42 54 66 67 73 74 76 80 86
2 1 6 17 20 37 42 54 62 67 73 74 76 80 83
2 1 6 18 22 36 46 55 61 67 72 74 76 78 83
1 2 6 14 20 37 40 50 63 67 73 74 76 79
2 4 7 18 24 38 40 52 63 67 73 74 76 80 83
2 2 6 18 26 35 40 54 63 67 73 74 76 81 83
2 5 7 14 19 39 40 52 63 67 73 74 76 80 83
2 1 6 16 19 39 40 47 63 67 73 74 76 82 83
2 4 6 14 22 36 43 55 66 67 72 74 76 80 83
2 1 6 18 22 36 42 53 64 67 73 74 76 79 83
1 5 9 18 19 39 40 52 63 71 73 74 76 80 83
2 5 6 15 22 36 40 54 63 67 73 74 76 79 83
2 4 6 15 29 39 41 51 66 67 72 74 76 80 83
2 4 11 14 25 38 40 48 63 67 73 74 76 80 83
2 2 6 18 25 38 42 52 64 67 73 74 76 81 83
2 1 6 14 20 37 40 51 61 70 72 74 76 80 83
2 1 6 17 22 36 42 49 62 67 72 74 76 78
1 4 6 14 23 39 40 52 61 67 72 74 77 82 97
1 5 9 17 19 39 41 51 64 67 73 74 76 82 83
2 4 8 15 22 36 41 51 64 67 73 74 76 82 83
1 4 6 17 20 37 40 47 63 67 73 74 76 80 83
2 4 6 17 33 35 40 54 63 67 73 74 76 80 103
2 3 6 14 25 38 40 49 63 67 73 74 76 80 86
2 4 6 15 22 36 40 55 63 67 73 74 76 82 83
2 2 6 16 22 36 40 54 63 67 73 75 76 80 83
2 2 6 14 19 39 40 50 63 67 73 75 76 80 83
2 2 18 27 35 45 64 67 73 74 76 80
2 4 6 15 22 36 40 57 63 67 73 74 76 80 83
1 4 6 15 32 39 40 52 63 67 73 74 76 81 83
2 2 6 14 20 37 41 47 64 67 73 74 76 82 83
2 3 6 15 22 36 40 48 63 67 73 74 76 80 83
2 2 6 16 20 37 41 55 64 67 72 74 76 80 83
1 5 6 16 22 36 40 55 61 67 72 74 76 80 83
1 4 8 16 20 37 40 51 63 67 73 74 76 82 83
2 1 17 20 37 42 62 67 73 74 76 80 83
2 1 6 14 20 37 42 52 62 67 73 74 76 78 83
2 2 6 18 19 39 43 50 62 71 72 74 76 80 83
1 2 7 16 19 39 40 50 63 67 73 74 76 82 83
2 1 6 17 20 37 42 54 64 67 73 74 76 80 83
2 5 6 15 20 37 40 52 65 67 73 74 76 78 83
2 2 6 17 22 36 42 49 62 67 73 74 76 80 103
2 3 6 14 24 38 40 55 63 67 73 74 76 80 83
2 5 17 31 35 40 63 67 73 74 76 78 83
2 1 6 18 21 35 42 49 62 67 72 74 76 78 83
2 2 10 15 27 35 40 56 63 67 73 74 76 80 83
2 1 6 18 22 36 42 50 64 67 73 74 76 78 83
2 5 6 18 19 39 40 49 63 67 73 74 76 80 95
2 4 6 14 22 36 40 49 61 67 72 74 76 80 83
2 5 6 16 22 36 40 50 63 67 73 74 76 82 83
1 4 6 18 22 36 41 48 64 67 72 75 76 80 83
2 5 6 18 22 36 41 50 62 67 72 74 76 79 83
1 4 10 18 22 36 40 59 63 67 73 74 76 80 83
2 3 6 17 29 39 40 52 63 67 73 74 76 82 83
2 2 6 14 26 35 42 50 64 67 73 74 76 80 83
1 4 9 18 32 39 42 52 64 67 72 74 76 82 83
2 5 6 17 25 38 40 52 63 67 73 74 76 80 83
2 3 6 18 20 37 41 48 66 67 72 74 76 80 83
2 2 6 17 20 37 41 54 66 71 72 74 76 78 83
